"original_idx1","original_idx2","celltype1","celltype2"
65,3674,"cd16mono","cd4memoryt"
65,7177,"cd16mono","cd14mono"
66,2053,"cd8t","cd16mono"
66,961,"cd8t","cd4memoryt"
67,7078,"cd4memoryt","cd14mono"
67,1398,"cd4memoryt","dc"
67,5105,"cd4memoryt","nk"
67,5587,"cd4memoryt","cd14mono"
68,6417,"cd16mono","b"
68,4779,"cd16mono","cd4naivet"
68,3355,"cd16mono","cd14mono"
70,6425,"mk","cd14mono"
72,4545,"b","cd14mono"
73,861,"tactivated","bactivated"
73,3848,"tactivated","cd16mono"
73,573,"tactivated","dc"
73,4510,"tactivated","cd4naivet"
76,3860,"bactivated","b"
77,6546,"cd4memoryt","cd14mono"
77,7114,"cd4memoryt","cd4naivet"
79,6622,"cd14mono","dc"
79,7196,"cd14mono","mk"
80,7088,"cd16mono","b"
80,3487,"cd16mono","cd4memoryt"
80,3945,"cd16mono","cd14mono"
81,7440,"cd14mono","cd4naivet"
81,3843,"cd14mono","cd16mono"
82,865,"tactivated","b"
82,835,"tactivated","mk"
82,5950,"tactivated","cd8t"
83,4225,"cd16mono","cd14mono"
83,1474,"cd16mono","cd14mono"
83,6880,"cd16mono","cd14mono"
86,3024,"cd4naivet","cd14mono"
86,905,"cd4naivet","cd14mono"
86,3007,"cd4naivet","cd4memoryt"
86,7238,"cd4naivet","cd14mono"
87,5005,"cd4memoryt","cd14mono"
87,3919,"cd4memoryt","cd8t"
89,567,"cd14mono","cd4naivet"
93,5703,"cd14mono","cd4naivet"
93,6591,"cd14mono","b"
93,140,"cd14mono","cd4memoryt"
94,3666,"cd4memoryt","nk"
97,940,"b","cd4memoryt"
97,2377,"b","cd14mono"
97,977,"b","cd16mono"
98,4065,"b","cd14mono"
98,1661,"b","cd4memoryt"
98,4239,"b","dc"
98,4748,"b","cd14mono"
98,2556,"b","cd14mono"
99,2656,"cd14mono","cd4memoryt"
101,4856,"cd16mono","nk"
101,6500,"cd16mono","cd4naivet"
101,5987,"cd16mono","mk"
102,389,"cd8t","nk"
102,4565,"cd8t","bactivated"
102,5841,"cd8t","cd14mono"
103,1898,"b","cd14mono"
103,2995,"b","cd4naivet"
103,6961,"b","cd16mono"
103,5394,"b","cd16mono"
104,3258,"cd14mono","nk"
105,6557,"cd4naivet","cd14mono"
105,7151,"cd4naivet","dc"
105,2970,"cd4naivet","mk"
106,5924,"cd14mono","b"
106,5396,"cd14mono","cd4naivet"
109,2087,"cd4memoryt","cd4naivet"
109,4106,"cd4memoryt","cd14mono"
109,2034,"cd4memoryt","cd4naivet"
111,5356,"cd14mono","dc"
111,14,"cd14mono","cd8t"
112,4936,"cd14mono","cd8t"
112,2485,"cd14mono","cd4naivet"
113,1262,"cd14mono","cd4memoryt"
113,6869,"cd14mono","mk"
113,837,"cd14mono","nk"
114,2776,"cd14mono","cd16mono"
114,5583,"cd14mono","b"
114,5428,"cd14mono","pdc"
115,1346,"cd4memoryt","cd4naivet"
115,6619,"cd4memoryt","b"
117,4083,"cd14mono","cd4memoryt"
120,6561,"b","cd14mono"
120,7066,"b","cd14mono"
120,819,"b","nk"
121,16,"pdc","cd4naivet"
121,2985,"pdc","cd14mono"
121,2666,"pdc","cd14mono"
123,2800,"cd14mono","bactivated"
123,5153,"cd14mono","cd4naivet"
124,6591,"cd14mono","b"
124,3837,"cd14mono","cd4naivet"
124,6746,"cd14mono","cd16mono"
125,1940,"cd8t","cd4naivet"
125,341,"cd8t","b"
125,2654,"cd8t","cd4naivet"
126,5993,"cd4memoryt","cd14mono"
126,996,"cd4memoryt","cd4naivet"
128,2203,"cd4memoryt","cd4naivet"
129,2413,"cd8t","cd4naivet"
131,5295,"cd4naivet","b"
131,4601,"cd4naivet","cd4memoryt"
132,6548,"cd14mono","b"
132,1053,"cd14mono","cd4naivet"
132,2832,"cd14mono","cd4naivet"
133,6308,"cd4memoryt","cd4naivet"
133,5449,"cd4memoryt","cd14mono"
135,1789,"cd14mono","cd8t"
135,2187,"cd14mono","tactivated"
136,5193,"cd14mono","cd4memoryt"
137,3276,"cd14mono","cd4memoryt"
138,6559,"cd4naivet","b"
138,1987,"cd4naivet","cd4memoryt"
138,7161,"cd4naivet","cd14mono"
138,1425,"cd4naivet","tactivated"
138,3836,"cd4naivet","cd14mono"
139,6186,"cd4naivet","nk"
139,1967,"cd4naivet","cd14mono"
139,6217,"cd4naivet","nk"
140,798,"cd4memoryt","dc"
140,3648,"cd4memoryt","cd14mono"
141,6601,"bactivated","cd14mono"
141,3719,"bactivated","cd4naivet"
142,1972,"cd4memoryt","b"
142,4742,"cd4memoryt","cd16mono"
142,7444,"cd4memoryt","cd4naivet"
142,829,"cd4memoryt","cd14mono"
143,5902,"cd14mono","tactivated"
145,3199,"cd14mono","tactivated"
146,5589,"cd4naivet","pdc"
146,6589,"cd4naivet","cd16mono"
146,1205,"cd4naivet","b"
148,6727,"cd14mono","cd4naivet"
148,2535,"cd14mono","pdc"
148,1381,"cd14mono","cd16mono"
149,6720,"cd14mono","cd4naivet"
150,73,"cd4memoryt","tactivated"
150,5104,"cd4memoryt","cd4naivet"
150,3783,"cd4memoryt","cd4naivet"
151,214,"b","cd4memoryt"
151,4103,"b","mk"
151,3284,"b","cd4naivet"
152,6275,"bactivated","cd14mono"
153,4366,"cd14mono","b"
153,2021,"cd14mono","cd4memoryt"
154,864,"b","cd14mono"
154,192,"b","cd14mono"
154,4790,"b","cd4memoryt"
154,4976,"b","cd8t"
154,7219,"b","cd4naivet"
155,1612,"cd4naivet","tactivated"
155,6814,"cd4naivet","cd8t"
158,4825,"b","cd14mono"
158,4070,"b","tactivated"
158,3955,"b","cd4memoryt"
159,6999,"cd14mono","cd4naivet"
159,170,"cd14mono","b"
161,3714,"cd4naivet","cd16mono"
161,6422,"cd4naivet","dc"
161,6861,"cd4naivet","tactivated"
162,2697,"tactivated","b"
162,5840,"tactivated","cd4memoryt"
162,1741,"tactivated","cd4naivet"
164,5699,"cd4memoryt","cd14mono"
165,169,"tactivated","cd4naivet"
165,3975,"tactivated","cd14mono"
165,7178,"tactivated","cd16mono"
167,5218,"tactivated","cd14mono"
168,3720,"cd4naivet","cd4memoryt"
169,7153,"cd4naivet","cd4memoryt"
169,213,"cd4naivet","mk"
169,6659,"cd4naivet","cd14mono"
169,172,"cd4naivet","cd8t"
170,3868,"b","cd4naivet"
170,2201,"b","cd16mono"
170,5765,"b","tactivated"
171,5234,"cd4naivet","cd14mono"
172,5152,"cd8t","cd4naivet"
172,5952,"cd8t","cd14mono"
173,4079,"cd14mono","cd4naivet"
173,7264,"cd14mono","cd4naivet"
173,4026,"cd14mono","cd4naivet"
174,6268,"cd4memoryt","cd14mono"
174,5086,"cd4memoryt","cd8t"
174,1885,"cd4memoryt","cd14mono"
174,5303,"cd4memoryt","cd14mono"
175,5433,"cd4naivet","cd4memoryt"
176,1036,"cd16mono","cd8t"
177,5582,"cd4naivet","cd14mono"
177,6019,"cd4naivet","cd14mono"
177,1900,"cd4naivet","nk"
177,5533,"cd4naivet","nk"
178,2434,"cd4memoryt","cd4naivet"
178,1945,"cd4memoryt","cd14mono"
178,1561,"cd4memoryt","cd4naivet"
178,495,"cd4memoryt","cd14mono"
178,6592,"cd4memoryt","cd14mono"
179,5191,"cd4naivet","cd4memoryt"
179,2093,"cd4naivet","cd14mono"
180,1420,"bactivated","cd14mono"
180,6036,"bactivated","cd4memoryt"
180,5222,"bactivated","cd8t"
180,4641,"bactivated","cd8t"
180,650,"bactivated","cd14mono"
182,1612,"cd4naivet","tactivated"
182,4216,"cd4naivet","cd14mono"
182,5109,"cd4naivet","cd14mono"
182,3872,"cd4naivet","b"
183,408,"cd14mono","cd4naivet"
184,63,"cd16mono","b"
184,5603,"cd16mono","cd4naivet"
186,266,"cd8t","cd16mono"
186,6650,"cd8t","b"
186,3406,"cd8t","cd4naivet"
187,2392,"cd14mono","nk"
188,4170,"cd4naivet","nk"
188,3402,"cd4naivet","tactivated"
188,5957,"cd4naivet","cd8t"
189,834,"cd4naivet","cd4memoryt"
189,7371,"cd4naivet","cd14mono"
189,5133,"cd4naivet","cd4memoryt"
190,2044,"nk","cd8t"
190,2195,"nk","cd14mono"
190,3238,"nk","tactivated"
190,6807,"nk","cd16mono"
191,6095,"tactivated","cd14mono"
191,2048,"tactivated","cd4naivet"
191,5871,"tactivated","cd4naivet"
191,5257,"tactivated","cd4naivet"
191,120,"tactivated","b"
192,4978,"cd14mono","b"
192,2754,"cd14mono","nk"
194,5254,"bactivated","nk"
194,6618,"bactivated","cd14mono"
194,7278,"bactivated","nk"
194,6516,"bactivated","b"
197,7015,"cd14mono","cd16mono"
198,5567,"dc","cd4memoryt"
200,6340,"cd4memoryt","cd14mono"
200,7007,"cd4memoryt","cd14mono"
200,1634,"cd4memoryt","dc"
200,1282,"cd4memoryt","cd14mono"
200,5498,"cd4memoryt","cd14mono"
202,5575,"cd14mono","cd4memoryt"
204,600,"cd14mono","cd4memoryt"
206,5977,"tactivated","cd4naivet"
207,1804,"b","mk"
207,2879,"b","nk"
208,5683,"cd4naivet","nk"
208,6989,"cd4naivet","dc"
208,5594,"cd4naivet","bactivated"
209,4296,"dc","cd14mono"
210,2813,"cd16mono","mk"
210,1430,"cd16mono","cd14mono"
210,1334,"cd16mono","cd4naivet"
212,137,"cd4naivet","cd14mono"
212,1202,"cd4naivet","cd14mono"
213,2592,"mk","tactivated"
214,1332,"cd4memoryt","cd4naivet"
214,6076,"cd4memoryt","cd4naivet"
215,1755,"cd16mono","cd14mono"
216,1012,"cd14mono","bactivated"
217,3900,"bactivated","cd16mono"
217,821,"bactivated","b"
217,4577,"bactivated","cd4naivet"
218,1198,"cd14mono","bactivated"
219,2896,"cd16mono","cd4naivet"
219,6171,"cd16mono","cd14mono"
219,203,"cd16mono","cd14mono"
219,1869,"cd16mono","eryth"
219,4487,"cd16mono","b"
220,6580,"bactivated","cd14mono"
220,2295,"bactivated","cd16mono"
221,371,"cd16mono","cd14mono"
222,3692,"cd4naivet","cd16mono"
222,4454,"cd4naivet","tactivated"
222,4618,"cd4naivet","b"
223,2291,"cd16mono","tactivated"
223,784,"cd16mono","cd4naivet"
223,6794,"cd16mono","tactivated"
223,3487,"cd16mono","cd4memoryt"
225,5888,"cd14mono","cd4naivet"
226,3616,"cd4memoryt","cd8t"
226,3333,"cd4memoryt","cd14mono"
226,2792,"cd4memoryt","cd4naivet"
226,78,"cd4memoryt","cd14mono"
229,5392,"b","cd4naivet"
229,5765,"b","tactivated"
229,5558,"b","cd14mono"
229,6564,"b","pdc"
230,7366,"cd4naivet","dc"
230,6441,"cd4naivet","cd4memoryt"
230,1258,"cd4naivet","b"
231,942,"cd4naivet","cd4memoryt"
231,6117,"cd4naivet","cd14mono"
231,6114,"cd4naivet","nk"
231,1508,"cd4naivet","cd14mono"
232,5098,"cd16mono","cd4naivet"
233,7064,"cd16mono","pdc"
234,2975,"bactivated","cd14mono"
235,291,"cd14mono","cd4memoryt"
235,4169,"cd14mono","b"
236,5994,"tactivated","cd8t"
236,3766,"tactivated","b"
236,1309,"tactivated","cd4naivet"
238,752,"cd4memoryt","cd16mono"
238,400,"cd4memoryt","tactivated"
239,4816,"cd14mono","b"
240,7401,"cd14mono","dc"
241,1881,"cd4naivet","cd8t"
241,5024,"cd4naivet","b"
242,7234,"cd14mono","nk"
242,6385,"cd14mono","cd4memoryt"
243,2271,"cd4memoryt","cd14mono"
243,3844,"cd4memoryt","cd14mono"
243,5423,"cd4memoryt","cd16mono"
244,2189,"nk","cd4naivet"
244,5955,"nk","mk"
244,5420,"nk","cd4naivet"
246,5974,"dc","cd14mono"
247,4141,"cd14mono","cd16mono"
250,2712,"cd8t","cd14mono"
250,7022,"cd8t","cd4naivet"
250,6960,"cd8t","cd16mono"
253,158,"cd4naivet","b"
253,5773,"cd4naivet","cd16mono"
256,3536,"nk","cd14mono"
256,5058,"nk","cd14mono"
256,2044,"nk","cd8t"
257,4281,"b","eryth"
257,4710,"b","tactivated"
257,351,"b","nk"
257,5489,"b","bactivated"
258,2057,"cd14mono","cd8t"
258,3632,"cd14mono","cd8t"
259,5498,"cd4memoryt","cd14mono"
259,1031,"cd4memoryt","cd14mono"
259,6340,"cd4memoryt","cd14mono"
259,1634,"cd4memoryt","dc"
260,2700,"cd14mono","mk"
261,1434,"cd4naivet","cd14mono"
261,3605,"cd4naivet","cd16mono"
261,1270,"cd4naivet","cd14mono"
263,3067,"cd16mono","cd4memoryt"
263,6794,"cd16mono","tactivated"
265,2733,"cd14mono","cd4memoryt"
266,6728,"cd16mono","bactivated"
267,5377,"b","cd4naivet"
267,804,"b","tactivated"
268,2316,"cd4memoryt","nk"
268,2335,"cd4memoryt","cd4naivet"
268,5552,"cd4memoryt","cd4naivet"
269,4752,"mk","cd14mono"
270,1258,"bactivated","b"
270,2384,"bactivated","cd16mono"
271,3134,"cd14mono","cd16mono"
272,7061,"b","cd4memoryt"
272,6223,"b","cd4naivet"
272,3799,"b","tactivated"
273,2974,"cd16mono","b"
273,2205,"cd16mono","cd4memoryt"
274,2925,"cd4memoryt","cd4naivet"
274,2672,"cd4memoryt","cd8t"
275,6750,"cd4naivet","b"
277,2050,"cd14mono","cd16mono"
278,3099,"b","nk"
278,2270,"b","cd14mono"
279,3891,"cd4memoryt","cd8t"
279,5935,"cd4memoryt","cd4naivet"
280,6298,"cd4naivet","cd4memoryt"
280,7275,"cd4naivet","cd8t"
282,2062,"cd4memoryt","tactivated"
282,1083,"cd4memoryt","eryth"
282,3639,"cd4memoryt","b"
282,3293,"cd4memoryt","cd8t"
282,6514,"cd4memoryt","cd14mono"
283,6442,"cd8t","cd14mono"
283,2927,"cd8t","cd14mono"
284,6412,"cd4naivet","cd14mono"
284,743,"cd4naivet","eryth"
284,3795,"cd4naivet","cd14mono"
285,2439,"cd4memoryt","cd14mono"
285,2356,"cd4memoryt","cd14mono"
286,1589,"cd4naivet","dc"
286,6031,"cd4naivet","cd14mono"
286,714,"cd4naivet","cd14mono"
286,213,"cd4naivet","mk"
287,2381,"dc","cd14mono"
287,3296,"dc","cd8t"
287,3411,"dc","cd16mono"
289,3340,"cd14mono","b"
289,4162,"cd14mono","cd16mono"
290,3828,"cd14mono","b"
290,2088,"cd14mono","cd4naivet"
292,317,"nk","cd16mono"
294,329,"cd4memoryt","cd14mono"
296,335,"b","cd4memoryt"
296,2393,"b","bactivated"
297,7343,"cd4memoryt","cd14mono"
297,6163,"cd4memoryt","cd14mono"
297,3680,"cd4memoryt","cd14mono"
297,1656,"cd4memoryt","cd4naivet"
298,6835,"tactivated","cd14mono"
298,4659,"tactivated","cd16mono"
298,5569,"tactivated","cd8t"
300,4163,"cd4naivet","cd14mono"
300,2917,"cd4naivet","mk"
300,7331,"cd4naivet","cd14mono"
300,5186,"cd4naivet","cd14mono"
300,1960,"cd4naivet","nk"
301,3207,"cd14mono","b"
301,662,"cd14mono","bactivated"
302,4232,"cd4memoryt","cd4naivet"
302,4887,"cd4memoryt","nk"
302,3426,"cd4memoryt","nk"
303,1487,"nk","cd4naivet"
303,5490,"nk","cd14mono"
303,1932,"nk","cd14mono"
304,6196,"cd14mono","cd4naivet"
304,1163,"cd14mono","b"
304,7336,"cd14mono","tactivated"
304,3217,"cd14mono","b"
305,4465,"cd14mono","nk"
305,5902,"cd14mono","tactivated"
305,3217,"cd14mono","b"
306,5888,"cd14mono","cd4naivet"
306,1354,"cd14mono","nk"
306,6976,"cd14mono","cd4memoryt"
307,4819,"b","tactivated"
308,6528,"cd14mono","cd4naivet"
308,425,"cd14mono","cd4memoryt"
310,2022,"cd4memoryt","cd4naivet"
310,6408,"cd4memoryt","cd4naivet"
311,5901,"cd4memoryt","cd16mono"
311,564,"cd4memoryt","tactivated"
311,1322,"cd4memoryt","cd14mono"
312,1078,"cd14mono","cd4memoryt"
312,2408,"cd14mono","cd8t"
312,6403,"cd14mono","cd4memoryt"
313,1236,"cd4naivet","tactivated"
314,6436,"cd4memoryt","cd16mono"
314,599,"cd4memoryt","cd14mono"
315,4913,"cd4naivet","tactivated"
315,6302,"cd4naivet","nk"
315,660,"cd4naivet","nk"
315,1083,"cd4naivet","eryth"
316,2107,"cd4naivet","cd14mono"
316,6394,"cd4naivet","cd14mono"
317,2039,"cd16mono","cd4naivet"
317,3702,"cd16mono","cd4memoryt"
319,3259,"dc","cd14mono"
319,781,"dc","nk"
319,1787,"dc","b"
319,6568,"dc","tactivated"
320,6350,"cd4memoryt","cd4naivet"
321,4304,"cd14mono","nk"
321,4691,"cd14mono","cd16mono"
321,6317,"cd14mono","cd16mono"
324,5754,"tactivated","dc"
324,6209,"tactivated","dc"
324,3975,"tactivated","cd14mono"
324,5521,"tactivated","cd4memoryt"
325,4668,"cd4naivet","cd4memoryt"
325,1165,"cd4naivet","tactivated"
325,93,"cd4naivet","cd14mono"
326,2970,"cd4naivet","mk"
326,3784,"cd4naivet","b"
326,6607,"cd4naivet","cd14mono"
329,5560,"cd14mono","b"
333,6771,"tactivated","cd14mono"
333,2867,"tactivated","cd14mono"
335,6827,"cd4memoryt","cd14mono"
335,5164,"cd4memoryt","cd4naivet"
336,5459,"cd14mono","cd4naivet"
339,4468,"cd4memoryt","cd4naivet"
339,4330,"cd4memoryt","b"
342,6802,"cd14mono","cd16mono"
343,416,"cd4naivet","nk"
343,1039,"cd4naivet","cd4memoryt"
343,3926,"cd4naivet","tactivated"
344,4298,"cd4memoryt","cd14mono"
347,605,"cd4memoryt","cd4naivet"
347,1276,"cd4memoryt","cd4naivet"
349,2120,"dc","cd4memoryt"
350,7155,"cd4memoryt","cd8t"
350,5474,"cd4memoryt","cd14mono"
350,3665,"cd4memoryt","mk"
350,3992,"cd4memoryt","b"
351,5490,"nk","cd14mono"
352,3980,"cd4naivet","cd8t"
352,510,"cd4naivet","dc"
352,116,"cd4naivet","cd14mono"
352,5745,"cd4naivet","cd14mono"
353,3063,"cd4memoryt","cd4naivet"
354,3490,"dc","cd4naivet"
354,3242,"dc","mk"
354,3185,"dc","cd4naivet"
355,6578,"cd8t","bactivated"
355,5947,"cd8t","b"
355,3570,"cd8t","cd16mono"
357,3721,"cd4naivet","cd4memoryt"
357,3041,"cd4naivet","dc"
357,3483,"cd4naivet","cd14mono"
358,4043,"cd4naivet","cd14mono"
359,5207,"cd14mono","nk"
362,1980,"cd14mono","dc"
363,6372,"cd4memoryt","cd8t"
363,3950,"cd4memoryt","cd4naivet"
365,5052,"cd8t","cd4naivet"
365,7221,"cd8t","cd4memoryt"
365,5347,"cd8t","cd14mono"
365,7352,"cd8t","b"
367,6285,"cd14mono","cd4memoryt"
368,7362,"dc","cd16mono"
371,3785,"cd14mono","cd4naivet"
372,2596,"cd14mono","cd4memoryt"
372,2819,"cd14mono","nk"
373,5865,"cd4naivet","bactivated"
373,3876,"cd4naivet","nk"
373,1816,"cd4naivet","cd8t"
374,1365,"cd14mono","cd4memoryt"
375,1439,"b","cd14mono"
377,3908,"cd16mono","dc"
378,1067,"cd14mono","cd8t"
378,5816,"cd14mono","bactivated"
379,3746,"cd4memoryt","cd4naivet"
379,2851,"cd4memoryt","cd14mono"
379,1302,"cd4memoryt","cd4naivet"
380,6625,"cd14mono","cd4memoryt"
382,4314,"dc","tactivated"
383,1009,"cd14mono","cd4naivet"
384,6040,"cd4naivet","cd14mono"
384,6400,"cd4naivet","cd14mono"
384,2428,"cd4naivet","cd16mono"
385,4210,"cd4naivet","cd16mono"
385,669,"cd4naivet","cd14mono"
385,2093,"cd4naivet","cd14mono"
385,6321,"cd4naivet","cd14mono"
386,4135,"cd14mono","b"
388,2433,"cd4naivet","cd14mono"
388,2715,"cd4naivet","cd14mono"
388,1349,"cd4naivet","cd14mono"
389,1535,"nk","cd4naivet"
390,929,"bactivated","cd14mono"
390,4460,"bactivated","cd4naivet"
391,4756,"cd14mono","pdc"
391,4463,"cd14mono","tactivated"
392,4469,"cd14mono","dc"
394,5759,"cd8t","cd4naivet"
395,2445,"nk","cd4memoryt"
395,1924,"nk","cd4naivet"
395,5591,"nk","cd4naivet"
395,3530,"nk","cd8t"
396,1900,"cd4naivet","nk"
398,5759,"tactivated","cd4naivet"
398,6531,"tactivated","cd8t"
398,6318,"tactivated","cd14mono"
398,6793,"tactivated","cd14mono"
399,7100,"b","cd4naivet"
399,6159,"b","cd8t"
399,7083,"b","cd4memoryt"
400,2669,"tactivated","cd14mono"
400,449,"tactivated","cd4memoryt"
400,2360,"tactivated","cd14mono"
402,2464,"cd4memoryt","cd4naivet"
402,5935,"cd4memoryt","cd4naivet"
402,7398,"cd4memoryt","cd14mono"
405,3580,"cd4memoryt","cd14mono"
406,3785,"cd14mono","cd4naivet"
406,5117,"cd14mono","cd4memoryt"
407,3828,"cd14mono","b"
407,571,"cd14mono","nk"
408,4987,"cd4naivet","cd14mono"
408,7417,"cd4naivet","cd4memoryt"
408,5698,"cd4naivet","cd4memoryt"
408,4668,"cd4naivet","cd4memoryt"
410,1452,"b","cd4naivet"
412,1442,"cd4naivet","b"
412,2929,"cd4naivet","dc"
412,4849,"cd4naivet","cd14mono"
413,1221,"cd14mono","cd16mono"
415,5863,"eryth","cd8t"
416,1705,"nk","b"
416,1518,"nk","cd14mono"
418,2517,"cd4memoryt","cd14mono"
418,2038,"cd4memoryt","tactivated"
418,2952,"cd4memoryt","cd16mono"
420,348,"cd14mono","b"
420,1584,"cd14mono","nk"
422,2698,"cd14mono","nk"
422,4880,"cd14mono","cd4naivet"
423,58,"cd4naivet","mk"
424,578,"pdc","cd14mono"
424,68,"pdc","cd16mono"
425,352,"cd4memoryt","cd4naivet"
425,6544,"cd4memoryt","b"
426,6114,"cd4naivet","nk"
426,82,"cd4naivet","tactivated"
426,6433,"cd4naivet","cd8t"
426,5776,"cd4naivet","cd4memoryt"
427,5489,"b","bactivated"
427,3966,"b","nk"
427,351,"b","nk"
427,3209,"b","cd16mono"
428,576,"cd14mono","cd4naivet"
428,3148,"cd14mono","cd4naivet"
429,5878,"tactivated","cd4naivet"
429,4467,"tactivated","cd4naivet"
430,6408,"cd8t","cd4naivet"
430,2098,"cd8t","cd4memoryt"
434,2227,"cd14mono","cd8t"
434,2823,"cd14mono","cd4memoryt"
434,3328,"cd14mono","bactivated"
435,5889,"cd4naivet","nk"
436,2666,"pdc","cd14mono"
436,6586,"pdc","tactivated"
436,5224,"pdc","tactivated"
436,415,"pdc","eryth"
436,5290,"pdc","cd14mono"
437,7185,"cd4naivet","nk"
437,6428,"cd4naivet","cd4memoryt"
439,5269,"cd16mono","cd4naivet"
439,5987,"cd16mono","mk"
440,6447,"cd14mono","cd4memoryt"
441,5335,"cd14mono","cd4memoryt"
442,7185,"cd4naivet","nk"
446,2537,"cd14mono","cd16mono"
446,6271,"cd14mono","bactivated"
446,2516,"cd14mono","cd4memoryt"
446,3222,"cd14mono","tactivated"
447,3758,"tactivated","cd4memoryt"
447,1994,"tactivated","cd8t"
447,4886,"tactivated","cd14mono"
447,7160,"tactivated","dc"
448,7362,"dc","cd16mono"
448,6170,"dc","tactivated"
448,7159,"dc","nk"
